"condition","character","moral_score","decision_speed"
"immoral","Justin",3,"quick"
"immoral","Justin",1.66666666666667,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",4.33333333333333,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",2.33333333333333,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",2,"quick"
"immoral","Justin",2,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",1.33333333333333,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",1.66666666666667,"quick"
"immoral","Justin",1,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",4.66666666666667,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",4.33333333333333,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",2,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",5,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",1.33333333333333,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",5,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",2,"quick"
"immoral","Justin",2.66666666666667,"quick"
"immoral","Justin",2.33333333333333,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",1.66666666666667,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",2,"quick"
"immoral","Justin",1.33333333333333,"quick"
"immoral","Justin",2.33333333333333,"quick"
"immoral","Justin",1,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",2.33333333333333,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",1.66666666666667,"quick"
"immoral","Justin",2.33333333333333,"quick"
"immoral","Justin",1.66666666666667,"quick"
"immoral","Justin",2,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",4.33333333333333,"quick"
"immoral","Justin",1,"quick"
"immoral","Justin",4.33333333333333,"quick"
"immoral","Justin",2.66666666666667,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",2.66666666666667,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",4.66666666666667,"quick"
"immoral","Justin",2.66666666666667,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",2.66666666666667,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",4.66666666666667,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",2.33333333333333,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",2.33333333333333,"quick"
"immoral","Justin",5,"quick"
"immoral","Justin",2.66666666666667,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",5,"quick"
"immoral","Justin",2.33333333333333,"quick"
"immoral","Justin",2,"quick"
"immoral","Justin",1.33333333333333,"quick"
"immoral","Justin",1.66666666666667,"quick"
"immoral","Justin",2.66666666666667,"quick"
"immoral","Justin",4.33333333333333,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",1.33333333333333,"quick"
"immoral","Justin",1.66666666666667,"quick"
"immoral","Justin",3,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",1,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",1.66666666666667,"quick"
"immoral","Justin",1,"quick"
"immoral","Justin",4,"quick"
"immoral","Justin",3.66666666666667,"quick"
"immoral","Justin",3.33333333333333,"quick"
"immoral","Justin",3,"quick"
"moral","Justin",3.33333333333333,"quick"
"moral","Justin",4,"quick"
"moral","Justin",4,"quick"
"moral","Justin",5,"quick"
"moral","Justin",6,"quick"
"moral","Justin",6.33333333333333,"quick"
"moral","Justin",6,"quick"
"moral","Justin",6.33333333333333,"quick"
"moral","Justin",6,"quick"
"moral","Justin",7,"quick"
"moral","Justin",7,"quick"
"moral","Justin",7,"quick"
"moral","Justin",6.66666666666667,"quick"
"moral","Justin",6.33333333333333,"quick"
"moral","Justin",6,"quick"
"moral","Justin",6.66666666666667,"quick"
"moral","Justin",6,"quick"
"moral","Justin",6,"quick"
"moral","Justin",6.33333333333333,"quick"
"moral","Justin",7,"quick"
"moral","Justin",6.66666666666667,"quick"
"moral","Justin",6,"quick"
"moral","Justin",7,"quick"
"moral","Justin",7,"quick"
"moral","Justin",6,"quick"
"moral","Justin",4.33333333333333,"quick"
"moral","Justin",6,"quick"
"moral","Justin",6,"quick"
"moral","Justin",6,"quick"
"moral","Justin",6,"quick"
"moral","Justin",7,"quick"
"moral","Justin",5.66666666666667,"quick"
